subject,control_change,training_change,mid_training_change,training_vs_control,baseline_value
1,-8.941806305209996e-05,0.00018214837078780002,0.00018268271876979996,0.0002715664338399,0.0015890938065753
10,0.00022276230045560012,-5.2597936661400065e-05,-0.00021960865698810003,-0.0002753602371170002,0.0015687241014205
11,4.52485631982e-05,-3.2239918951600024e-05,6.085996276490005e-05,-7.748848214980003e-05,0.0015307691585712
12,-0.0001840015441966999,0.0002806899707005,0.00026120551776739995,0.0004646915148971999,0.0014046966346242
13,-0.00030408135165560014,0.00018765720633449998,0.00021903046736120014,0.0004917385579901001,0.001755265363682
14,4.0187640174200014e-05,0.00028326120501500013,3.2753095489499937e-05,0.00024307356484080012,0.0016745568747147
16,0.00010146301530700001,-4.655556600910004e-05,-3.440507523890012e-05,-0.00014801858131610005,0.001171176276477
17,-3.8713250308200064e-05,0.00010736031012020006,-1.3388182671800024e-05,0.00014607356042840012,0.0015238918773708
18,-0.0002862843504228001,0.0003689094022733001,0.00014397060006970008,0.0006551937526961002,0.0016363648895726
19,-1.6634924676699973e-05,-0.00015841193913229993,0.00016818082322119995,-0.00014177701445559996,0.0013056530615887
2,0.00010408570019789995,-6.305048191770002e-05,-3.9773494163999976e-05,-0.00016713618211559996,0.0014848308673722
20,-0.0003175109129227001,8.332029178500112e-06,0.0003541544366674001,0.00032584294210120024,0.0018021656416314
21,-0.0003720872585287001,0.00024036128758209998,0.00022866358864010003,0.0006124485461108001,0.0016859254183863
22,0.0001869893658972999,-0.000357745200795,-0.0002043381277238999,-0.0005447345666922999,0.0018463038636775
3,0.00015980027746709995,-0.00026635389608169993,-0.00010008354952110001,-0.0004261541735487999,0.0012880020535051
4,0.00014888583941440004,-0.0004691141985271,-0.00036012079287529994,-0.0006180000379415,0.0016631713267806
5,-1.9022927301999993e-05,-6.992122535610002e-05,-1.7159391195100066e-05,-5.089829805410002e-05,0.0015015888677838
6,9.693609213860008e-05,-0.00026751641134020016,-0.00014273618100500013,-0.00036445250347880024,0.00174724517591
7,-6.234647664709984e-05,0.0002985253560633999,8.638003532579984e-05,0.00036087183271049975,0.001485350969774
8,-0.0002736535219463,0.00017243373339579987,0.000115564987818,0.00044608725534209985,0.0016294056751478
9,3.0476875010300095e-05,0.00018802186099869988,-2.79954649527001e-05,0.00015754498598839978,0.0014483460508794
