subject,control_change,training_change,mid_training_change,training_vs_control,baseline_value
1,-0.024397010164902477,0.011936420685219329,0.0009634267078689196,0.036333430850121806,0.443868077655206
10,-0.013177211584124715,0.006920783721054813,0.009104590204588592,0.020097995305179528,0.4179323861074864
11,0.010638287365503096,-0.0007854473406749829,-0.004549652459266473,-0.01142373470617808,0.3917127293564679
12,0.0032559080596000767,0.005681334268460292,-0.00816434390198989,0.002425426208860215,0.3980430277868227
13,0.009362992259902891,-0.021779941605153397,-0.007665396891385012,-0.031142933865056288,0.4305158982131343
14,0.006863135616804683,-6.577172646776708e-05,-0.018642488836401683,-0.00692890734327245,0.3892226190930832
16,-0.002987576662588809,0.0021863880292378735,0.0027348199667096007,0.005173964691826682,0.4290666946812876
17,0.01242529029819589,-0.012871833679045208,0.0023977180228254014,-0.0252971239772411,0.3996240921580001
18,-0.003356557311307462,0.0028357333633874937,-0.00023240493732124,0.006192290674694956,0.3966207152260702
19,0.011848448388699251,-0.00920935443571086,0.0017117350788790064,-0.02105780282441011,0.4161559839490486
2,-0.0061970485694824995,0.004489898357765365,-0.003929267155736049,0.010686946927247865,0.4208682361193116
20,-0.014773829289171814,-0.006615498574547907,0.012905575952266102,0.008158330714623907,0.4064627195343115
21,0.020141047878599105,-0.013264440308791092,-0.008221977507297307,-0.0334054881873902,0.3921194625269065
22,0.0242692217144026,-0.022923903218804498,-0.027047075157385303,-0.0471931249332071,0.3867184975880818
3,0.005196089039649077,0.0061283769882535255,-0.0029600637164353127,0.0009322879486044489,0.3966647399976576
4,-0.005418343357892819,0.0062324748158475995,0.007079883473154913,0.011650818173740418,0.4206852985590303
5,-0.012706890301174889,0.022684807263254225,0.017930224767383207,0.035391697564429114,0.4145752886990576
6,0.008877063544950325,-0.010066699687370506,0.001194261681471187,-0.01894376323232083,0.3874668699977746
7,-0.0024792636878192,-0.013599674694195873,0.005918543436328416,-0.011120411006376674,0.4131305377894269
8,-0.00039377042402338747,-0.0013262330026644897,-0.006210600680907896,-0.0009324625786411023,0.4052806003541359
9,-0.015219621367176472,0.021516678436492187,0.015440441520043202,0.03673629980366866,0.4337074081394446
