subject,control_change,training_change,mid_training_change,training_vs_control,baseline_value
1,0.007964161274265802,-0.009258337481333978,0.0068193130910900734,-0.01722249875559978,0.8617554338808694
10,0.0039488966318235175,0.0005641280902605184,-0.014368674298987916,-0.003384768541562999,0.8791604446656711
11,0.0029036004645760505,-0.001111664177866345,0.0027542724406836028,-0.0040152646424423954,0.8653724904595985
12,-0.02434046789447486,0.005425584868093636,0.011730545876887377,0.029766052762568496,0.858752281400365
13,-0.0008130081300812275,-0.011946241911398703,-0.000779824124771844,-0.011133233781317475,0.8656213704994192
14,0.0009457441513190945,0.024589347934295458,0.01614401858304304,0.023643603782976363,0.884270781483325
16,0.010076876278966918,0.0006304961008793963,-0.010618881699021143,-0.009446380178087521,0.8560754383054034
17,-0.01672473867595825,0.01431889829102373,-0.007908854598750126,0.03104363696698198,0.859465737514518
18,-0.00629943034124214,0.007914385266301616,0.004114816658370657,0.014213815607543756,0.8580332946186604
19,-0.002273104363696765,-0.002870416459266667,-0.006321553011448433,-0.0005973120955699018,0.8825783972125436
2,-0.018865107018417038,0.015181682429069143,0.011548033847685324,0.03404678944748618,0.898042143686743
20,0.012228305956528907,0.007001825120292016,-0.008345777335324378,-0.005226480836236891,0.8706985233117638
21,-0.008909905425584896,0.016044466567114668,0.017919362867098054,0.024954371992699564,0.8553509208561474
22,-0.012394225983076157,0.004911232785797193,0.004678944748631175,0.01730545876887335,0.8572258171561308
3,-0.007051601128256202,-0.0009291521486642917,-0.0018085282893645083,0.00612244897959191,0.8659200265472042
4,-0.012974946075991367,-0.0029201924672307422,-0.005674464907914345,0.010054753608760625,0.8994524639123942
5,0.002422432387589213,0.006321553011448544,-0.014086610253857601,0.0038991206238593312,0.8505226480836237
6,0.005309440849510572,0.006304961008793741,0.009125601460096111,0.0009955201592831697,0.8890492782478845
7,-0.00029865604778500643,-0.010486145677783276,-0.004513024722083925,-0.01018748962999827,0.874780155964825
8,-0.006918865107018446,-0.0010784801725567394,0.01149825783972136,0.0058403849344617065,0.8726066036170566
9,0.002472208395553399,0.010502737680437968,0.0064874730379956835,0.008030529284884569,0.8878380620540899
