subject,control_change,training_change,mid_training_change,training_vs_control,baseline_value
1,-0.010740228853636596,0.018245248072950797,-0.0163744159930648,0.028985476926587393,-0.0632888984238506
10,-0.013151652240186898,0.005710802517420593,0.015026247572654194,0.01886245475760749,-0.0671499830759761
11,-0.007888890031545803,0.015683918024067302,0.009174636429098104,0.023572808055613105,-0.048711580427075
12,0.022765153421826008,-0.0131181461590303,-0.0262327672489246,-0.03588329958085631,-0.0680209396914803
13,-0.0034469412877499023,0.009630218082453103,0.0113301369783122,0.013077159370203005,-0.0430323275530173
14,-0.0081841328398835,-0.0013442678212933004,-0.0119991931982519,0.006839865018590199,-0.0512356341513093
16,-0.0182014387959719,0.012240615882310596,0.011903097245304597,0.030442054678282496,-0.0435810283238645
17,0.0125665441751962,-0.019390358192924503,0.0116405106661997,-0.0319569023681207,-0.0382293806644783
18,0.0009878482797896979,-0.0026468404459163986,0.008194401881712401,-0.0036346887257060964,-0.0476894396644533
19,0.0181319568106294,-0.010085240325413705,0.0029521412276365955,-0.028217197136043107,-0.0886829097831244
2,-0.012034621019359204,-0.016718816670428696,-0.022550987691866198,-0.004684195651069492,-0.0661170661098366
20,-0.012738377334261003,-0.009117864997395295,0.020473301383216007,0.0036205123368657083,-0.0613988704965928
21,-0.023220357363515798,0.027664959030420398,0.0002609348443464027,0.050885316393936196,-0.0584940121091148
22,0.0214161501099603,0.0014375582701586023,-0.017267821661107102,-0.019978591839801697,-0.0743819288996832
3,-0.005308588649870799,0.0304354766624758,0.0303624303105949,0.0357440653123466,-0.0667438429609573
4,0.013501969624175103,0.011485017921869997,0.012106449286594906,-0.002016951702305106,-0.0909199066161353
5,0.0024166968237557054,-0.012945604734838106,-0.0013690439347721003,-0.015362301558593812,-0.0488437321110272
6,-0.005016760769412799,0.015915255105137,0.009344720199148795,0.0209320158745498,-0.0602572959249239
7,0.009286890790613692,0.020422985053895802,-0.005923236187183392,0.01113609426328211,-0.0836902944088534
8,0.009496821681832898,0.0019763537651154087,0.0005447978066007025,-0.0075204679167174895,-0.0730878327908723
9,0.008425183052991503,-0.0014565782548014994,-0.003478175674144407,-0.009881761307793002,-0.0755578039065114
