subject,control_change,training_change,mid_training_change,training_vs_control,baseline_value
1,-0.05140188093262954,0.015167654489586013,0.01425666472737519,0.06656953542221555,1.549552182236705
10,-0.026802566006059125,0.018411368449533505,-0.0014690021760106475,0.04521393445559263,1.5104094845380276
11,0.03018164701542081,-0.0037644514875709856,-0.00640245775203474,-0.033946098502991795,1.4226378427154749
12,-0.032897197151685376,0.02250124249958696,0.0005798165259638388,0.055398439651272335,1.4266007722164005
13,0.023957017315649365,-0.07831872311793409,-0.022217755822211194,-0.10227574043358345,1.520009720698727
14,0.018019195865621507,0.04055256656473927,-0.01796159424394328,0.02253337069911776,1.4477791894819514
16,0.00975258019976688,0.006874096916368089,-0.011365008894534734,-0.0028784832833987917,1.499431597929842
17,0.0018073560706677316,-0.0068755551292709605,-0.007637358460600874,-0.008682911199938692,1.4315460135697224
18,-0.0182494745869608,0.019697262277694527,0.006241788360223266,0.03794673686465533,1.422046325206777
19,0.027339053737861496,-0.02932473303015981,-0.006465518049638019,-0.05666378676802131,1.511668139004309
2,-0.04864732874206301,0.03774817798890595,0.00958185628784225,0.08639550673096896,1.5506698124604266
20,-0.01552558720436914,-0.004228425636245925,0.017443382663484996,0.011297161568123215,1.4669651797248775
21,0.03305994718882466,-0.005088980791652542,0.010199267115896804,-0.0381489279804772,1.4071036464035624
22,0.036550235546841225,-0.045705681780161767,-0.05537647088177611,-0.08225591732700299,1.397768910010862
3,0.0006786716067186394,0.013294670372584028,-0.01007967629875961,0.012615998765865388,1.4352219801372827
4,-0.03657659726231621,0.011285168154364422,0.00875769031776863,0.047861765416680635,1.552614600794911
5,-0.026814367292152586,0.06720073112547964,0.019789978108323503,0.09401509841763223,1.4528301106278472
6,0.030139483061543126,-0.014028417607926169,0.018084106999919802,-0.044167900669469295,1.451430518125043
7,-0.006777337069741485,-0.050859208172366,0.007317017546421001,-0.044081871102624515,1.490587280976885
8,-0.012596978458709662,-0.005042757370704365,0.004097528231847836,0.007554221088005297,1.467257675025676
9,-0.036782092311756553,0.07758156512026493,0.05322150071065446,0.11436365743202148,1.5678080109384729
