subject,control_change,training_change,mid_training_change,training_vs_control,baseline_value
1,-0.05787457229869186,0.07236081404499595,0.04842396010859318,0.1302353863436878,0.5756403136693102
10,0.07989060528987679,-0.04824358998844558,-0.10081517285925112,-0.12813419527832237,0.5529637029420984
11,0.05353899872453116,-0.07208108342853092,0.01237506097702723,-0.12562008215306208,0.5841113543118421
12,-0.06526751114650553,0.10872462711896302,0.10137036007931766,0.17399213826546855,0.5469403839840979
13,-0.10803742159871876,0.07332775980951389,0.0824594379797513,0.18136518140823266,0.6143184678831236
14,0.04069130350607275,0.0208106015032552,-0.04409170047162947,-0.019880702002817552,0.5481562284820954
16,0.013232477221256922,0.006680437448563503,0.034252933264710794,-0.006552039772693419,0.4290651963771644
17,-0.025788904719782124,0.08023416606565448,0.029147038634899536,0.1060230707854366,0.5652510043300872
18,-0.13783905737876556,0.15654944205897103,0.03717805296916643,0.2943884994377366,0.6752720152930263
19,-0.02316221799117768,-0.015683196728634108,0.0920933066122715,0.007479021262543573,0.482465096634845
2,0.06847561176114447,-0.04059284091465071,-0.03223649121594252,-0.10906845267579518,0.4653911451469943
20,-0.11268900111921865,-0.03961964638380849,0.09968212089786599,0.07306935473541015,0.6127065564950178
21,-0.16432763765674918,0.057534100274598154,0.05730673258503649,0.22186173793134734,0.6841939604053765
22,0.08870789477153673,-0.15577603572049303,-0.08545400542620707,-0.24448393049202977,0.7042428812544086
3,0.08824041851218822,-0.13284689945143646,-0.09257109949061315,-0.22108731796362469,0.5260704529282934
4,0.04932556447174763,-0.1258362862473585,-0.1059761986539049,-0.17516185071910612,0.5358141959990387
5,0.011954283983025893,-0.024532887614760135,0.00553442272530269,-0.03648717159778603,0.5204141611815103
6,0.04410597064576516,-0.1013033036931118,-0.06309049075768303,-0.14540927433887696,0.572110723506791
7,-0.0306403638983741,0.08524513768384989,0.04347962094954516,0.115885501582224,0.4913693897984237
8,-0.09183855941080388,0.06607431927672502,0.03825068802257092,0.1579128786875289,0.5669289691684967
9,0.03388947755896876,0.06043900121823753,0.010388235035328486,0.02654952365926877,0.4802982261114117
