subject,control_change,training_change,mid_training_change,training_vs_control,baseline_value
1,0.015928322548531604,-0.018516674962668067,0.013638626182180147,-0.03444499751119967,0.7235108677617389
10,0.007897793263646924,0.0011282561805209257,-0.02873734859797583,-0.006769537083125998,0.7583208893313423
11,0.005807200929152212,-0.002223328355732579,0.0055085448813670945,-0.008030529284884791,0.7307449809191969
12,-0.04868093578894972,0.01085116973618716,0.023461091753774643,0.05953210552513688,0.71750456280073
13,-0.001626016260162566,-0.023892483822797406,-0.001559648249543799,-0.02226646756263484,0.7312427409988386
14,0.001891488302638078,0.04917869586859136,0.03228803716608597,0.04728720756595328,0.7685415629666501
16,0.020142691222830522,0.0012609922017587927,-0.021237763398042064,-0.01888169902107173,0.7121619379459101
17,-0.03344947735191639,0.02863779658204746,-0.015795586527293848,0.06208727393396385,0.718931475029036
18,-0.012609922017587594,0.015828770532603342,0.008229633316741425,0.028438692550190936,0.7160776505724241
19,-0.004546208727393419,-0.005740832918533223,-0.012643106022896977,-0.0011946241911398037,0.7651567944250871
2,-0.0377302140368343,0.030363364858138397,0.02309606769537087,0.0680935788949727,0.796084287373486
20,0.024456611913057924,0.014003650240584031,-0.016691554670648756,-0.010452961672473893,0.7413970466235275
21,-0.017819810851169682,0.032088933134229225,0.03583872573419611,0.04990874398539891,0.7107018417122947
22,-0.024788451966152314,0.009822465571594496,0.00935788949726235,0.03461091753774681,0.7144516343122614
3,-0.014103202256512293,-0.0018583042973286945,-0.0036170565787291276,0.012244897959183598,0.7318400530944085
4,-0.025949892151982845,-0.0058403849344614844,-0.01134892981582869,0.02010950721752136,0.7989049278247885
5,0.004844864775178315,0.012643106022896977,-0.028173220507715313,0.0077982412477186624,0.7010452961672474
6,0.010618881699021032,0.012609922017587483,0.018251202920192444,0.0019910403185664505,0.7780985564957691
7,-0.0005973120955699018,-0.020972291355566663,-0.00902604944416796,-0.02037497925999676,0.7495603119296499
8,-0.01383773021403678,-0.002156960345113701,0.022996515679442497,0.01168076986892308,0.7452132072341131
9,0.004944416791106687,0.021005475360876047,0.012974946075991367,0.01606105856976936,0.7756761241081799
