subject,timepoint,global_efficiency,char_path_length,modularity,clustering_coef,density,assortativity,transitivity,small_world
1,1,0.8617554338808694,0.004103929766218782,0.4403865612985411,0.0015890938065753592,0.7235108677617389,-0.0632888984238506,0.7768713830515878,1.1033274416610654
1,2,0.8697195951551352,0.004191842437862917,0.41642389871380175,0.0014996757435232007,0.7394391903102705,-0.07402912727748723,0.7918143049819306,1.0008684159153836
1,3,0.8765389082462253,0.004204549745976407,0.4241625356861254,0.0016823584622930108,0.7530778164924506,-0.09040354327055204,0.8008132122112639,1.1061228862496657
1,4,0.8604612576738012,0.00425556429085783,0.4320070044168544,0.0016818241143110406,0.7209225153476024,-0.05578387920453648,0.7853320861733227,1.126104446214604
2,1,0.898042143686743,0.004216548042475528,0.4117736750353569,0.0014848308673722746,0.796084287373486,-0.0661170661098366,0.8435875505709989,0.928261587545856
2,2,0.8791770366683259,0.004175398219346262,0.41444194501178266,0.0015889165675701902,0.7583540733366517,-0.07815168712919582,0.8108272416259992,1.04251098017107
2,3,0.8907250705160112,0.004175500655218211,0.40470918561986874,0.001549143073406186,0.7814501410320226,-0.10070267482106203,0.8370705025923563,0.9898715237248837
2,4,0.8943587190973951,0.004135113898125144,0.41445429913909304,0.0015258660856524743,0.7887174381947901,-0.0948705037996245,0.838057187430721,0.9800217668064528
3,1,0.8659200265472042,0.0035887532984901654,0.40137643331769296,0.0012880020535051928,0.7318400530944085,-0.0667438429609573,0.7815573315115525,1.0121811271367358
3,2,0.858868425418948,0.003538473781151485,0.396193429366566,0.0014478023309722101,0.7177368508378962,-0.07205243161082812,0.7699562225826417,1.173503240868801
3,3,0.8570598971295835,0.0039025471650903517,0.39301490403209016,0.0013477187814511385,0.714119794259167,-0.04169000130023324,0.7654603546844779,0.9956824979446625
3,4,0.8579392732702837,0.0036960286132404225,0.40262914112789183,0.001181448434890523,0.7158785465405675,-0.04161695494835239,0.766985348621772,0.9196667416480813
4,1,0.8994524639123942,0.004084455061390364,0.4200555832536748,0.0016631713267806112,0.7989049278247885,-0.09091990661613536,0.8420537289099456,1.0708542284142792
4,2,0.8864775178364028,0.004243757739505572,0.4193954814528583,0.0018120571661950074,0.7729550356728057,-0.07741793699196023,0.8205530206334063,1.1520030487807464
4,3,0.8808030529284885,0.004228691219844088,0.41691932555430206,0.0014519363733197946,0.761606105856977,-0.06531148770536531,0.8116391037853564,0.9379415021758627
4,4,0.8835573253691721,0.004044346860129431,0.4180168894210893,0.0013429429676679492,0.7671146507383442,-0.0659329190700902,0.8125653459017234,0.9025641503826488
5,1,0.8505226480836237,0.004459784722747673,0.4150205605204192,0.0015015888677838891,0.7010452961672474,-0.04884373211102728,0.7702443859148576,0.9794119098580887
5,2,0.8529450804712129,0.004267950921519849,0.4036890157585662,0.0014825659404818445,0.7058901609424257,-0.04642703528727151,0.7752711815020015,1.0060993551153385
5,3,0.8388584702173553,0.004390723736684976,0.41276863102556327,0.0014654065492867472,0.6777169404347104,-0.04779607922204368,0.7473534612526226,1.0007322048566922
5,4,0.8592666334826614,0.00417071421038661,0.42786688123193484,0.0014126447151257397,0.7185332669653227,-0.0593726400221096,0.7836417982095911,0.9650573028609961
6,1,0.8890492782478845,0.004151161889663175,0.38884732142543343,0.0017472451759100172,0.7780985564957691,-0.060257295924923904,0.82342452044962,1.1315728824966926
6,2,0.8943587190973951,0.0040006388999502245,0.3979430303120359,0.0018441812680486732,0.7887174381947901,-0.06527405669433678,0.8288574456196647,1.224095523877211
6,3,0.9034843205574913,0.003998057114152954,0.3961089009606759,0.001701445087043694,0.8069686411149826,-0.05592933649518792,0.8438520967216363,1.1053380538435988
6,4,0.9006636801061888,0.004014224236104188,0.3846625670601509,0.00157666485670845,0.8013273602123776,-0.04935880158919972,0.8441705799064687,1.0296840635910123
7,1,0.874780155964825,0.004302173574581069,0.41213016136492586,0.0014853509697740558,0.7495603119296499,-0.08369029440885345,0.8038797372836968,0.9551812443400711
