subject,timepoint,global_efficiency,char_path_length,modularity,clustering_coef,density,assortativity,transitivity
1,1,0.8617554338808694,0.004103929766218682,0.443868077655206,0.0015890938065753581,0.7235108677617389,-0.0632888984238506,0.7768713830515878
1,2,0.8697195951551352,0.00419184243786295,0.4194710674903035,0.0014996757435232003,0.7394391903102705,-0.07402912727748723,0.7918143049819306
1,3,0.8765389082462253,0.00420454974597644,0.4204344941981724,0.001682358462293011,0.7530778164924506,-0.09040354327055204,0.8008132122112639
1,4,0.8604612576738012,0.0042555642908578065,0.4314074881755228,0.0016818241143110417,0.7209225153476024,-0.05578387920453648,0.7853320861733227
2,1,0.898042143686743,0.004216548042475527,0.4208682361193116,0.0014848308673722742,0.796084287373486,-0.0661170661098366,0.8435875505709989
2,2,0.8791770366683259,0.004175398219346275,0.4146711875498291,0.0015889165675701908,0.7583540733366517,-0.07815168712919582,0.8108272416259992
2,3,0.8907250705160112,0.004175500655218185,0.4107419203940931,0.001549143073406186,0.7814501410320226,-0.10070267482106203,0.8370705025923563
2,4,0.8943587190973951,0.004135113898125104,0.4191610859075945,0.001525866085652475,0.7887174381947901,-0.0948705037996245,0.838057187430721
3,1,0.8659200265472042,0.003588753298490128,0.39666473999765767,0.0012880020535051932,0.7318400530944085,-0.0667438429609573,0.7815573315115525
3,2,0.858868425418948,0.003538473781151485,0.4018608290373067,0.0014478023309722106,0.7177368508378962,-0.07205243161082812,0.7699562225826417
3,3,0.8570598971295835,0.0039025471650904263,0.3989007653208714,0.001347718781451138,0.714119794259167,-0.04169000130023324,0.7654603546844779
3,4,0.8579392732702837,0.003696028613240418,0.4079892060255602,0.001181448434890522,0.7158785465405675,-0.04161695494835239,0.766985348621772
4,1,0.8994524639123942,0.00408445506139041,0.42068529855903036,0.00166317132678061,0.7989049278247885,-0.09091990661613536,0.8420537289099456
4,2,0.8864775178364028,0.004243757739505558,0.4152669552011375,0.0018120571661950078,0.7729550356728057,-0.07741793699196023,0.8205530206334063
4,3,0.8808030529284885,0.004228691219844035,0.42234683867429246,0.0014519363733197944,0.761606105856977,-0.06531148770536531,0.8116391037853564
4,4,0.8835573253691721,0.004044346860129417,0.4214994300169851,0.0013429429676679488,0.7671146507383442,-0.0659329190700902,0.8125653459017234
5,1,0.8505226480836237,0.004459784722747636,0.4145752886990576,0.00150158886778389,0.7010452961672474,-0.04884373211102728,0.7702443859148576
5,2,0.8529450804712129,0.004267950921519828,0.4018683983978827,0.0014825659404818449,0.7058901609424257,-0.04642703528727151,0.7752711815020015
5,3,0.8388584702173553,0.004390723736684918,0.41979862316526595,0.0014654065492867466,0.6777169404347104,-0.04779607922204368,0.7473534612526226
5,4,0.8592666334826614,0.004170714210386593,0.42455320566113697,0.001412644715125739,0.7185332669653227,-0.0593726400221096,0.7836417982095911
6,1,0.8890492782478845,0.004151161889663182,0.38746686999777463,0.0017472451759100178,0.7780985564957691,-0.060257295924923904,0.82342452044962
6,2,0.8943587190973951,0.004000638899950224,0.39634393354272496,0.0018441812680486738,0.7887174381947901,-0.06527405669433678,0.8288574456196647
6,3,0.9034843205574913,0.003998057114152978,0.39753819522419614,0.0017014450870436936,0.8069686411149826,-0.05592933649518792,0.8438520967216363
6,4,0.9006636801061888,0.004014224236104198,0.3862772338553544,0.0015766648567084502,0.8013273602123776,-0.04935880158919972,0.8441705799064687
7,1,0.874780155964825,0.004302173574581052,0.41313053778942693,0.0014853509697740554,0.7495603119296499,-0.08369029440885345,0.8038797372836968
7,2,0.8744814999170399,0.004400014105193297,0.41065127410160773,0.0014230044931269241,0.74896299983408,-0.07440340361823973,0.8034371800497294
7,3,0.869968475194956,0.004328828105359217,0.41656981753793615,0.0015093845284527988,0.739936950389912,-0.08032663980542311,0.7921499285222828
7,4,0.8639953542392567,0.004651977430894309,0.3970515994074118,0.0017215298491903498,0.7279907084785133,-0.053980418564343984,0.7847558726677211
8,1,0.8726066036170566,0.004119828177700348,0.40528060035413593,0.0016294056751478827,0.7452132072341131,-0.07308783279087235,0.7975770695639279
8,2,0.8656877385100381,0.004186152283391405,0.4048868299301125,0.001355752153201522,0.7313754770200763,-0.06359101110903943,0.7917328897296936
8,3,0.8771859963497595,0.004047109578894973,0.3986762292492046,0.0014713171410195242,0.7543719926995188,-0.0630462133024387,0.8091134132569545
8,4,0.8646092583374814,0.004157567706487473,0.40356059692744806,0.0015281858865973295,0.7292185166749626,-0.06161465734392405,0.7848099250906521
9,1,0.8878380620540899,0.004114552089430894,0.4337074081394446,0.0014483460508794362,0.7756761241081799,-0.07555780390651141,0.8307696921413977
9,2,0.8903102704496433,0.003893699178364029,0.41848778677226817,0.0014788229258897814,0.7806205408992866,-0.06713262085351993,0.8365868964230593
9,3,0.896797743487639,0.0036692409474033518,0.43392822829231137,0.0014508274609370089,0.7935954869752779,-0.07061079652766437,0.8443946563323896
9,4,0.9008130081300812,0.0038010802218350756,0.4400044652087603,0.001666844786888412,0.8016260162601626,-0.06858919910832147,0.851074648261683
10,1,0.8791604446656711,0.003980182867595819,0.41793238610748645,0.001568724101420551,0.7583208893313423,-0.06714998307597614,0.8059154174186229
10,2,0.8831093412974946,0.003921252700514352,0.40475517452336174,0.001791486401876103,0.7662186825949893,-0.08030163531616302,0.8056851297588472
10,3,0.8687406669985067,0.0042897814214368675,0.4138597647279503,0.0015718777448880952,0.7374813339970134,-0.06527538774350888,0.7888061224220665
10,4,0.8836734693877552,0.004112763406669985,0.41167595824441655,0.0017388884652147307,0.7673469387755102,-0.07459083279874244,0.8085079003429191
11,1,0.8653724904595985,0.003848458981251037,0.39171272935646795,0.001530769158571273,0.7307449809191969,-0.04871158042707509,0.785759418965739
11,2,0.8682760909241746,0.003594291617388419,0.402351016721971,0.0015760177217694906,0.7365521818483491,-0.056600470458620857,0.7808831213633597
11,3,0.8710303633648582,0.003628547282893645,0.39780136426270457,0.0016368776845343022,0.7420607267297162,-0.047425834029522704,0.7866103962650877
11,4,0.8671644267463082,0.0039843016910569105,0.40156556938129606,0.0015437778028178201,0.7343288534926166,-0.040916552434553576,0.7876911911326616
12,1,0.858752281400365,0.003857544424589348,0.39804302778682277,0.001404696634624229,0.71750456280073,-0.06802093969148032,0.7638897831644731
12,2,0.8344118135058901,0.0041517996059399365,0.4012989358464228,0.001220695090427503,0.6688236270117803,-0.04525578626965435,0.7146300700927105
12,3,0.8461423593827775,0.003990051869918699,0.3931345919444329,0.0014819006081949603,0.692284718765555,-0.07148855351857891,0.7393229012042469
12,4,0.8398373983739837,0.004083941873734859,0.40698027011488314,0.0015013850611280757,0.6796747967479675,-0.058373932428684654,0.7270081181026311
