subject,timepoint,global_efficiency,char_path_length,modularity,clustering_coef
1,1,57.33012371880603,0.007048809998340953,0.4553799835112068,0.0009881589549969973
1,2,60.11972831768947,0.007210330101543122,0.4377269968483077,0.0009096492770175631
1,3,59.71857253420143,0.007193343958520005,0.43822081309215694,0.0009258325173264509
1,4,56.87102659495398,0.007367177511199605,0.4428393775870928,0.0009387518732313487
2,1,57.00951629019521,0.007231348867429973,0.4422519469924544,0.0008080805836584094
2,2,57.75817311601273,0.007207646330844562,0.4271486109414769,0.0008610388774470435
2,3,58.88519962167281,0.006997614056412811,0.44116899313471897,0.0007711716319768458
2,4,58.50773992832379,0.007037738523311763,0.43138484192760185,0.0008510633528960246
3,1,60.43375365532644,0.006311245094076731,0.422794130447511,0.0007865932322749541
3,2,58.78334326109658,0.006217602873734908,0.42664099707777836,0.0009146331205324601
3,3,60.01374705841283,0.00665486810386593,0.4360575392509436,0.0008179398032139891
3,4,57.65863194459323,0.006461963771694103,0.43926759652997877,0.0007284354177431697
4,1,54.30221432040101,0.006941141505226463,0.4346554976263066,0.0009857751362896744
4,2,56.118663972185004,0.007235896684254222,0.44400605232659274,0.0010403981466752768
4,3,54.69102126159005,0.007295038724074953,0.445802472767897,0.0009028801574334317
4,4,56.13154433883451,0.007067405473369863,0.4337697462004144,0.0007892316020952671
5,1,57.75946923701361,0.007944745705657869,0.44527158143164636,0.0009231034880377234
5,2,57.58967786560835,0.007467334572092194,0.43747944734196653,0.0007639457753611877
5,3,57.50687801755508,0.007682885507549321,0.4368691491052598,0.0007107561087640919
5,4,58.50546607005112,0.00720816532371008,0.45565771555576284,0.0006569822523251368
6,1,55.25540712841394,0.0071948693419611525,0.41773442411247885,0.000994911731516934
6,2,56.111673359599095,0.006991101491289204,0.42161434013871757,0.0011059057959286345
6,3,55.721132412085225,0.0068665017872905285,0.4187909606942297,0.0008934299064960555
6,4,54.937589177994376,0.006868843053260383,0.41172480664656774,0.0010781056525494327
7,1,58.552805920540685,0.00741569589613408,0.4237806074033279,0.0008518034352933024
7,2,59.182019491392126,0.007556286497096407,0.41710765389162124,0.0007298621850028819
7,3,58.348910687900755,0.007478828731707386,0.43635490130663723,0.000766638918213266
7,4,59.3224381330985,0.00794456730014942,0.44204662439724685,0.0010299838793404288
8,1,59.34256739388636,0.007164075882860406,0.42428258735161956,0.0007859622619132195
8,2,59.13309675538937,0.007380445465073923,0.43605147215095746,0.0009223118113548715
8,3,59.084598132819316,0.006922895857972413,0.4117812173283041,0.0007713577634036044
8,4,60.48844035455715,0.0072820686965323735,0.418856734288256,0.0009164400855735412
9,1,55.680330714965194,0.006950335993031385,0.46203936161916687,0.0007621948034190006
9,2,54.281696249000504,0.006557519115646263,0.45710605228780604,0.0006749464763999602
9,3,55.22713872783539,0.006217704996515715,0.4558980637680052,0.00070069371292008
9,4,55.329937214356264,0.0065300395267959615,0.4562175228409465,0.0009253010029651702
10,1,57.42915776826467,0.007042298812676255,0.4364865481590732,0.000807688947114325
10,2,58.99591065294288,0.006821464752945013,0.41346107018028727,0.0009715913483765141
10,3,56.57484341621422,0.007430065390741685,0.4428374226938654,0.0009344972751181126
10,4,55.82499442842267,0.007134368236601958,0.43433804880463067,0.0009274814019608565
11,1,60.383447232293186,0.006524834483822836,0.4345618394621802,0.000770362835307719
11,2,58.44264814003751,0.006165174201095006,0.43463659800810783,0.0007081354146069224
11,3,58.81640761605652,0.00621271559150495,0.4313023723806107,0.0007357886522994731
11,4,60.376427171193136,0.006735251060892557,0.43487335215805356,0.0006966364838276236
12,1,54.36137815796096,0.0067390003998672,0.4288442448294804,0.0006924199481767173
12,2,53.143706622691376,0.007159079397378459,0.42741630553853155,0.0006091443833215167
