subject,timepoint,node,degree,strength,eigenvector_centrality,betweenness,local_efficiency,clustering
1,1,0,2291.018617444999,2291.018617444999,0.04270535733511798,0.00020073603211776515,0.8879103841277562,0.0024632560322820738
1,1,1,3154.811880714999,3154.811880714999,0.049717284111460945,0.0013716962194713952,0.8879103841277562,0.002401132525286393
1,1,2,2622.7700901099993,2622.7700901099993,0.03373155064803517,0.0022415523586483774,0.8879103841277562,0.0017844083905002059
1,1,3,3260.3390307299983,3260.3390307299983,0.043170349869727516,0.0009033121445299432,0.8879103841277562,0.0020620049968303224
1,1,4,3461.8095049350004,3461.8095049350004,0.05526702773210435,0.004750752760120442,0.8879103841277562,0.0025521416965581154
1,1,5,2476.918506404999,2476.918506404999,0.04065721178701711,0.0032285045165607227,0.8879103841277562,0.0023827501059828916
1,1,6,2430.1195233749995,2430.1195233749995,0.03774915416028678,0.007895617263298762,0.8879103841277562,0.001904370940352226
1,1,7,2106.7890665100003,2106.7890665100003,0.03027258721526453,0.019805955168952828,0.8879103841277562,0.0016343996983215685
1,1,8,1664.8419876200005,1664.8419876200005,0.034147536790541,0.002375376380060221,0.8879103841277562,0.0017833843584889432
1,1,9,1376.6764919500004,1376.6764919500004,0.02944365589076491,0.005219136835061894,0.8879103841277562,0.0014139448190854647
1,1,10,828.0036959200006,828.0036959200006,0.01400025319640796,0.008062897290063566,0.8879103841277562,0.0012154177528079459
1,1,11,1438.7570887699997,1438.7570887699997,0.021977447202766322,0.008497825359652059,0.8879103841277562,0.0016796282107805567
1,1,12,1701.646436004999,1701.646436004999,0.030040354405142043,0.005720976915356306,0.8879103841277562,0.0016670050966041587
1,1,13,1547.0483868149997,1547.0483868149997,0.02125433974135091,0.004984944797591168,0.8879103841277562,0.0012530254230453508
1,1,14,929.2926696550003,929.2926696550003,0.007396672727205027,0.02422214787554366,0.8879103841277562,0.0005924189699518164
1,1,15,1056.1901880600005,1056.1901880600005,0.005938049344459057,0.012629642020742723,0.8879103841277562,0.00048816378226966317
1,1,16,1027.1659406849988,1027.1659406849988,0.006122473104370999,0.01983941117430579,0.8879103841277562,0.0005738304387009176
1,1,17,857.2502342400002,857.2502342400002,0.008801995777452365,0.02226497156239545,0.8879103841277562,0.0006501619998901874
1,1,18,923.1155029399997,923.1155029399997,0.009373053302794384,0.0117096018735363,0.8879103841277562,0.0007384193277964231
1,1,19,1249.4370435149997,1249.4370435149997,0.011950298629316144,0.005352960856473738,0.8879103841277562,0.0007436814774024897
1,1,20,1438.6946329300001,1438.6946329300001,0.009693351797991518,0.012947474071595853,0.8879103841277562,0.0008057285029749248
1,1,21,1197.2588975500005,1197.2588975500005,0.006085366978459685,0.003094680495148879,0.8879103841277562,0.000692936508658059
1,1,22,1168.4458772550001,1168.4458772550001,0.007048502843819698,0.002626296420207427,0.8879103841277562,0.0007656434214023392
1,1,23,1314.094610045001,1314.094610045001,0.006627187280003871,0.016694546671127467,0.8879103841277562,0.0005685964401470717
1,1,24,1226.3215990700007,1226.3215990700007,0.009672841242468451,0.006691201070592172,0.8879103841277562,0.0007015183258226032
1,1,25,1588.7129969749997,1588.7129969749997,0.02532968841886205,0.0017062562730010037,0.8879103841277562,0.0015475731198908535
1,1,26,3355.692545285,3355.692545285,0.0783797469593026,0.000234192037470726,0.8879103841277562,0.0027979339301403097
1,1,27,2509.4632594349996,2509.4632594349996,0.06183077554833829,0.00036801605888256943,0.8879103841277562,0.00221668999740366
1,1,28,599.8188052450004,599.8188052450004,0.004131792580732009,0.002107728337236534,0.8879103841277562,0.00041246255081442125
1,1,29,743.8742731749998,743.8742731749998,0.005766280909874201,0.004449648711943794,0.8879103841277562,0.0006516841597860162
1,1,30,599.5507849449992,599.5507849449992,0.004217113323303222,0.010772833723653397,0.8879103841277562,0.0005335697179231265
1,1,31,658.7276411049999,658.7276411049999,0.0048234355488118,0.007176313148210104,0.8879103841277562,0.0004901312309135325
1,1,32,944.3003364899998,944.3003364899998,0.008962177131592626,0.008062897290063566,0.8879103841277562,0.0007066899842189032
1,1,33,1400.9736874350003,1400.9736874350003,0.014770482989808233,0.009434593509534963,0.8879103841277562,0.000994060469991424
1,1,34,1046.4505997749998,1046.4505997749998,0.01164719454949786,0.013783874205419874,0.8879103841277562,0.000872284588120106
1,1,35,1080.3559031999994,1080.3559031999994,0.011608025227924468,0.009083305453328873,0.8879103841277562,0.0007835658668340176
1,1,36,1246.185652049999,1246.185652049999,0.012996246995973569,0.009468049514887923,0.8879103841277562,0.0009287785545788853
1,1,37,1061.8125608749995,1061.8125608749995,0.008623856890695947,0.002693208430913349,0.8879103841277562,0.0007036267623092298
1,1,38,1294.3767896950003,1294.3767896950003,0.011376424442146203,0.0037136165941786554,0.8879103841277562,0.0006878379257445877
1,1,39,854.3745668850006,854.3745668850006,0.008422095314135172,0.004115088658414185,0.8879103841277562,0.0006568912773436916
1,1,40,387.5185755250003,387.5185755250003,0.0046699576958142445,0.0007694881231180997,0.8879103841277562,0.0017869367279556062
1,1,41,664.7640440349996,664.7640440349996,0.009212304519988078,0.002576112412177986,0.8879103841277562,0.0009653174908090072
1,1,42,835.5677708549999,835.5677708549999,0.009844938499958046,0.00234192037470726,0.8879103841277562,0.0006516014950985233
1,1,43,833.0660264850002,833.0660264850002,0.013676269815852859,0.008782201405152226,0.8879103841277562,0.0008284846685903824
1,1,44,954.5422617100008,954.5422617100008,0.01604158314427724,0.005536968885915022,0.8879103841277562,0.0010972868362562529
